ID,ID пользователя,Повод,Описание,Статус,Ограничение на сбор,Цель сбора,Собрано,Общ. кол-во пож.,Разов.,Рекур.,Дата начала сбора,Дата завершения сбора
24,279206,Особый случай,"Привет! Я Алина, кадровый донор крови и плазмы. 😊

20 апреля отмечается День Донора! И по этому случаю я открываю сбор в поддержку сервиса DonorSearch.

Благодаря добровольным пожертвованиям проект DonorSearch мотивирует людей сдавать кровь,  и её компоненты, быстро реагирует на волнующие вопросы доноров и не только. 

Если ты хочешь, но не можешь по ряду причин стать донором, то ты можешь внести вклад в поддержку данного сервиса.🤗

Сделай доброе дело, внеси свой вклад в поддержу донорского движения. ❤️☺️",Активный сбор,Нет,,957.00,10,8,2,20.03.2024,20.04.2024
23,280775,Особый случай,Поддержка проекта DonorSearch❤️,Активный сбор,Нет,,700.00,13,8,5,20.03.2024,20.04.2024
22,267617,Особый случай,На поддержку ДС,Активный сбор,Нет,,0,0,0,0,20.03.2024,20.04.2024
21,282337,Особый случай,"Поддержите наше благотворительное событие: помогите спасти жизни через донорство!

   Уважаемые друзья, я обращаюсь к вам с призывом стать донором крови, вступить в реестр доноров костного мозга или поучаствовать в благотворительном сборе в поддержку организации ""Донорсёрч"", которая усердно работает над популяризацией донорского движения и спасением жизней.
   Донорство – это акт самоотверженности и сострадания, который может изменить судьбу тысяч людей. Однако, несмотря на его важность, многие из нас не осознают, насколько просто можно стать донором и как малый жест может сыграть огромную роль в чьей-то жизни.
   Организация ""Донорсёрч"" делает все возможное для того, чтобы привлечь внимание к этой проблеме, проводя информационные кампании, образовательные мероприятия и организуя благотворительные акции. Каждый из нас имеет возможность внести свой вклад в эту благородную деятельность.
   Поэтому мы приглашаем вас принять участие в нашем благотворительном сборе, который приурочен ко дню донора и продлится до 20 апреля. Весь собранный на событии доход будет направлен на поддержку проектов ""Донорсёрч"", чтобы помочь им продолжать свою деятельность и расширять свой охват.
   Вместе мы можем сделать больше! Присоединяйтесь к нам и помогите нам спасти жизни через донорство. Ваш вклад имеет значение!

   С уважением, Никита — действующий донор крови и её компонентов.",Активный сбор,Да,5000.00,650.00,5,5,0,20.03.2024,20.04.2024
15,210275,Особый случай,"Всем привет! 
Хотелось бы рассказать про очень классный проект 🩸

Без людей нет доноров, без поддержки нет DonorSearch❤

Совсем скоро, 20 апреля, ежегодно отмечается Национальный день Донора крови🩸В связи с этим прекрасным событием хотелось бы создать данный сбор. 

DonorSearch мотивирует людей становится донорами. С ними легче пройти путь от новичка до звания Почётного донора 😍 Они занимаются пропагандой «правильного» донорства, помогают в чате 24/7 в различных вопросах и самое главное - призывают бережно относиться к своему здоровью ❤

Добро даёт силы 🥰 Самое прекрасное чувство - возвращаться на донации снова и снова и дарить частичку себя. 

Прошу поддержать развитие проекта DonorSearch ❤ 
Спасибо тем, кто это сделает 🫶",Активный сбор,Нет,,11485.00,35,28,7,20.03.2024,20.04.2024
14,143468,Особый случай,Поддержка Проекта,Активный сбор,Нет,,1600.00,19,15,4,20.03.2024,20.04.2024
13,141625,Особый случай,"Всем привет! 
На связи Роман, почетный донор Москвы и России и просто волонтер.
Я считаю что волонтерство должно быть нормой жизни.

20 апреля ежегодно отмечается Национальный день донора! В этот особый день для меня и миллионов Россиян, я открываю сбор средств в поддержку сервиса DonorSearch.

Благодаря добровольным пожертвованиям проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое).

Я предлагаю поддержать DonorSearch, а поводом такой подарок считать 20 апреля - Национальный день донора крови.

Вы можете пожертвовать любую сумму или создать сбор самостоятельно.

Спасибо вам за ваше участие!",Активный сбор,Нет,,14139.00,12,11,1,20.03.2024,20.04.2024
11,237235,Особый случай,"Привет! Меня зовут Иван и я регулярно сдаю кровь (компоненты)  с 2020 года.

20 апреля отмечается День донора!
В связи с праздником, предлагаю поддержать проект DonorSearch.

Какая бы не была мотивация сдавать кровь (помощь людям, денежная компенсация, отгулы на работе или путь к почетному донору), помни, что сдав один раз кровь - ты спасешь жизнь людям, которым нужна ТВОЯ помощь!
Начни уже сегодня - запишись на станцию переливания крови и сдай кровь!",Активный сбор,Нет,,5000.00,14,13,1,20.03.2024,20.04.2024
10,2726,Особый случай,"Всем привет! На связи ЕленАнатольна👋. 
20 апреля в России отмечается Национальный день донора, и по этому поводу я открываю сбор в поддержку любимого проекта DonorSearch🩸. 
Цель проекта это мотивация и информирование будущих и настоящих доноров, забота и помощь. 
Без людей нет доноров, без поддержки нет DonorSearch❣️.",Активный сбор,Нет,,1500.00,11,11,0,20.03.2024,20.04.2024
8,239623,Просто так,"Привет, меня зовут Наталья. Я являюсь донором крови с 2007 года, а в 2023 вступила в ряды Почётных Доноров России. К сожалению в нашей стране на развитие донорских движений уделяется очень мало внимания и такие проекты как DonorSearch существуют только благодаря постоянным донорам.

20 апреля  мы вновь отметим День Донора! И по этому особому случаю я открываю сбор средств в поддержку сервиса DonorSearch.♥️

Если ты хочешь, но не можешь по ряду причин стать донором,то ты можешь внести вклад в поддержку этого сервиса.♥️

Помни, без людей нет доноров!",Активный сбор,Нет,,300.00,1,1,0,20.03.2024,20.04.2024
7,152420,Особый случай,Сумма сбора пойдет для развитие donorsearch,Активный сбор,Нет,,100.00,1,1,0,20.03.2024,20.04.2024
6,259421,Особый случай,"Ежегодно более 1,5 млн человек нуждается в переливании крови и ее компонентов: плазмы и тромбоцитов. Лишней крови, которую пришлось бы уничтожать, в банках почти никогда нет. В России кровь сдает всего 1,7% людей. Для того чтобы обеспечить достаточный запас крови, нужно, чтобы донорами были хотя бы 4% населения. Сдавать кровь впервые не так страшно, когда рядом есть опытный компаньон. Расскажите собеседнику о том, когда у вас подойдет время следующей сдачи крови, предложите выбрать день и вместе отправиться в пункт. Вы все время будете рядом, сможете показывать процесс на своем примере и поддерживать. Давайте поддерживать данный проект, поскольку рано или поздно каждый может нуждается в донорскрой крови.",Активный сбор,Нет,,600.00,2,2,0,20.03.2024,20.04.2024
5,220628,Особый случай,"Привет!
На связи действующий донор - Юля!🧡 
Я всегда думала,чем я могу помочь этому миру) И вот свой путь доброго дела Я начала в июле 2022 года❣️
 
К чему это я пишу,спросите вы?!) Так вот:...
20 апреля ежегодно отмечается Национальный День Донора! И по этому особому случаю я открываю сбор средств в поддержку фонда DonorSearch.❣️
 DonorSearch мотивирует людей сдавать кровь,ее компоненты и плазму, быстро реагирует на волнующие вопросы доноров и не только,в общем поддержка доноров 24/7❣️ А ещё этот проект помогает пройти путь от новичка до звания ""Почетный Донор""❣️
Благодаря этому фонду, я регулярный донор❣️
Если ты хочешь, но не можешь по ряду причин стать донором,то ты можешь внести частичку себя в поддержку и развитие этого сервиса абсолютно любой суммой,даже ваши 10 рублей будут значимы фонду❣️ Вложенные вами средства пойдут на развитие и улучшения качества данного сервиса🤗
Помни,  что герои не носят плащи! 
И Доброта у нас в крови❣️ 

Благодарю за уделённое время и ваше внимание ❣️❣️❣️",Активный сбор,Нет,,5010.00,25,20,5,20.03.2024,20.04.2024
4,260422,Особый случай,"Всем привет!

Я с детства мечтала спасать мир, но не знала как. Но не так давно я стала донором крови, и моя мечта начала сбываться)))

Конечно, не каждый может сдавать кровь и ее компоненты, но каждому по силам помочь донорскому движению.

20 апреля в России отмечается Национальный день донора крови, и я хочу рассказать вам о сообществе доноров DonorSearch.

Миссия проекта DonorSearch — сделать так, чтобы каждый день в каждый центр крови приходило нужное число доноров, поддерживая и мотивируя их. 
Без людей нет доноров, а без поддержки нет DonorSearch.

Давайте поддержим этот проект?))
Вы можете пожертвовать любую сумму, буквально 10-50-100 рублей тоже очень помогают❤️

Спасибо вам за ваше участие!",Активный сбор,Нет,,6000.00,16,15,1,20.03.2024,20.04.2024
3,149226,Особый случай,"Привет!
Ежегодно 20 апреля в России отмечается Национальный день донора крови. 
Меня зовут Оля, я донор крови и считаю очень важным развитие донорства крови и компонентов. Поэтому я рассказываю не только о важности донорства, но и о том, что есть сообщество доноров DonorSearch.
Когда я предлагаю людям стать донором крови, то иногда слышу о невозможности по ряду причин сдавать кровь/компоненты. Но когда меня спрашивают, как еще можно помочь донорскому движению, то я всегда радуюсь такому вопросу. Помогать можно путем волонтерства или, например, поддерживая проект DonorSearch.
Проект DonorSearch участвует в грантах и постепенно развивается.
Благодаря добровольным пожертвованиям проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое).
Я предлагаю поддержать DonorSearch, а поводом сделать такой подарок считать 20 апреля - Национальный день донора крови.
Вы можете пожертвовать любую сумму или создать сбор самостоятельно. 
Спасибо вам за ваше участие!",Активный сбор,Нет,,743.00,7,6,1,15.03.2024,20.04.2024
37,221910,День Рождения,,Активный сбор,Нет,,0,0,0,0,15.04.2024,16.04.2024
35,272712,Просто так,,Активный сбор,Нет,,0,0,0,0,25.03.2024,07.04.2024
36,287541,Просто так,"1-го апреля команда Рекорда организует большой танцевальный марафон в эфире в поддержку донорского движения в России — марафон добра «Сердечный Бит».

Донорство крови каждый год спасает жизни тысяч пациентов. Чтобы помочь, можно сдать кровь или поддержать донорство материально. Пожертвования пойдут в пользу крупнейшего в стране сообщества доноров DonorSearch: они помогут привлечь новых доноров, направить их туда, где их помощь наиболее востребована.",Активный сбор,Нет,,130541.00,201,166,35,27.03.2024,02.04.2024
2,272712,Просто так,"Сбор создан для проверки новых правок.

Здесь должно быть разделение на абзацы.",Активный сбор,Нет,,10.00,1,1,0,15.03.2024,31.03.2024
34,181008,Просто так,,Активный сбор,Нет,,0,0,0,0,25.03.2024,25.03.2024
